h_team_id,a_team_id,day,fix_time,fix_round,temp,rain,distance,dist_time,sunset,attend,hw_odds,d_odds,h_injuries,a_injuries,h_suspensions,a_suspensions,h_penalty_c,a_penalty_c,win_lg,draw_lg,loss_lg,derby,league_pos_h,league_pos_a,tv,tv_all,radius_25k,last_home_game,points_top,points_bottom,season
2,4,2,19.450001,24,21,0,274,200,20.4,275,2.2,2.2,4,1,1,0,0,0,1,0,0,0,4,8,0,0,1,10,21,6,2012
1,8,2,19.450001,24,21,1,1.65,5,20.41,1229,1.5,2.2,0,0,1,0,1,1,0,0,1,1,7,6,0,0,1,17,17,10,2012
11,10,6,19.450001,24,14,1,207,157,20.32,2065,1.875,2.2,3,1,0,0,0,0,1,0,0,0,9,12,0,1,0,7,11,19,2012
3,9,6,19.450001,25,19,0,252,150,20.219999,3004,3.3333001,2.4000001,4,2,3,0,0,0,1,0,0,0,5,9,0,0,0,11,22,9,2012
5,6,6,19.450001,25,17,0,32,30,20.17,933,.61540002,2.75,1,2,1,0,0,0,0,0,1,1,11,2,0,0,0,7,9,22,2012
12,2,6,19.450001,25,18,0,28,25,20.16,313,1.6,2.2,6,0,0,1,1,0,0,0,1,0,3,4,0,0,1,7,30,1,2012
8,4,6,20,25,18,0,246,174,20.16,728,1.5,2.2,0,1,0,1,0,0,0,1,0,0,6,8,0,0,1,14,21,10,2012
11,4,2,19.450001,25,21,0,246,174,20.09,852,.83329999,2.4000001,1,2,1,1,0,0,0,1,0,0,9,8,0,0,0,10,11,20,2012
10,1,2,20,25,17,1,207,157,20.190001,3127,.40000001,3.2,2,2,1,1,0,0,0,1,0,0,12,7,0,0,0,14,0,31,2012
1,11,6,19.450001,26,20,0,6,20,19.59,1520,3,2.25,3,1,0,0,0,0,0,0,1,1,7,10,0,0,2,18,23,11,2012
2,5,6,19.450001,26,20,0,88,56,19.59,500,1.9,2.3,0,0,2,2,0,1,0,0,1,0,4,11,0,0,2,18,27,7,2012
4,3,6,19.450001,26,17,0,400,283,20.049999,1000,.9091,2.25,3,6,0,1,0,0,0,0,1,0,8,5,0,0,0,21,20,14,2012
6,12,6,19.450001,26,19,0,85,59,20,700,1.375,2.2,4,6,1,0,0,1,0,0,1,0,2,3,0,0,0,18,34,0,2012
9,8,6,20,26,20,0,11,35,19.59,3000,.40000001,3.3333001,2,0,1,3,0,0,1,0,0,1,9,6,0,0,2,25,11,23,2012
3,2,2,19.450001,27,12,0,217,156,19.59,1685,.72729999,2.3,5,0,0,3,0,0,1,0,0,0,7,3,0,0,0,10,22,12,2012
5,4,2,19.450001,27,10,1,200,152,19.530001,486,1.3,2.2,0,3,1,1,1,1,1,0,0,0,11,8,0,0,0,10,6,28,2012
10,6,2,19.450001,27,12,0,170,147,20.02,3265,.16670001,5.5,2,5,0,2,0,0,1,0,0,0,12,2,0,0,0,7,0,34,2012
9,1,2,20,27,11,1,12,25,19.52,3500,.44440001,3,4,2,0,0,0,0,0,1,0,1,9,6,0,0,1,3,10,24,2012
8,11,2,20,27,11,1,8,20,19.52,1057,2.0999999,2.3,0,4,2,0,0,0,0,1,0,1,5,10,0,0,1,10,23,11,2012
1,3,6,19.450001,28,13,0,252,150,19.25,1135,1.375,2.2,1,3,1,2,0,0,1,0,0,0,7,8,0,1,1,7,23,14,2012
2,10,6,19.049999,28,12,0,227,135,19.23,1500,7,3.2,1,3,1,1,0,0,0,0,1,0,3,12,1,0,1,14,30,7,2012
4,12,6,19.450001,28,10,0,246,174,19.290001,800,.72729999,2.5,1,1,2,0,0,0,0,0,1,0,6,4,0,1,0,7,23,14,2012
6,8,6,19.450001,28,11,0,85,59,19.25,600,1.8,2.25,4,0,0,1,0,0,1,0,0,0,2,5,0,1,0,14,37,0,2012
11,9,3,19.450001,28,12,1,6,10,19.15,1731,1.05,2.3,4,2,0,3,1,0,1,0,0,1,10,4,0,0,0,11,8,29,2012
5,11,6,19.049999,29,11,0,53,42,19.08,1026,2.5,2.25,0,4,1,0,0,0,1,0,0,0,10,11,1,0,0,18,7,31,2012
12,1,6,19.450001,29,13,0,10,20,19.08,507,1.875,2.2,5,1,0,2,0,0,1,0,0,0,4,7,0,1,2,28,28,10,2012
9,6,6,20,29,13,0,90,65,19.08,1200,.2,5,2,1,1,2,2,0,0,0,1,1,9,2,0,1,2,6,14,24,2012
8,2,6,20,29,13,0,21,45,19.08,716,1,2.4000001,1,0,2,0,0,0,1,0,0,0,5,3,0,1,2,14,24,14,2012
